id_question;model_name;qtype;question;references;gemini-pro;bleu;ref_len;resp_len;rouge_1;rouge_2;rouge_l;cosine_sim;bert_score_f1;bert_score_r;bert_score_p
177;gemini-pro;exams and tests;How to diagnose Childhood Vascular Tumors ?;Tests are used to detect (find) and diagnose childhood vascular tumors. The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps, lesions, or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken.     -   Ultrasound exam: A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. The picture can be printed to be looked at later.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.    -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI).     -   Biopsy : The removal of cells or tissues so they can be viewed under a microscope by a pathologist to check for signs of cancer. A biopsy is not always needed to diagnose a vascular tumor.;Diagnosis of childhood vascular tumors involves a combination of clinical evaluation, imaging studies, and sometimes biopsy. A detailed medical history and physical examination are performed to assess the location, size, and characteristics of the tumor. Imaging studies such as ultrasound, magnetic resonance imaging (MRI), or computed tomography (CT) scans are used to further evaluate the tumor's extent and involvement of surrounding structures. In some cases, a biopsy may be recommended to obtain a tissue sample for pathological examination, which can help confirm the diagnosis and determine the specific type of vascular tumor. Multidisciplinary consultation involving specialists such as pediatric oncologists, surgeons, and radiologists may be necessary to determine the most appropriate diagnostic and treatment approach.;0.018;217.0;105.0;0.305;0.068;0.167;0.658;-0.055;-0.146;0.036
178;gemini-pro;causes;What causes Joubert syndrome ?;What causes Joubert syndrome? Joubert syndrome and related disorders may be caused by changes (mutations) in any of many genes (some of which are unknown). The proteins made from these genes are either known, or thought, to affect cell structures called cilia. Cilia are projections on the cell surface that play a role in signaling. They are important for many cell types, including neurons, liver cells and kidney cells. Cilia also play a role in the senses such as sight, hearing, and smell. Mutations in the genes responsible for Joubert syndrome and related disorders cause problems with the structure and function of cilia, likely disrupting important signaling pathways during development. However, it is still unclear how specific developmental abnormalities result from these problems.;Joubert syndrome is a rare genetic disorder characterized by hypotonia (low muscle tone), ataxia (difficulty with balance and coordination), and developmental delay. It is caused by mutations in several genes that encode proteins necessary for proper brain development, particularly those involved in the formation of the brainstem and cerebellum. These mutations can be inherited from either parent or can occur spontaneously. Joubert syndrome is a heterogeneous disorder, meaning that it can have a variety of genetic causes and clinical presentations.;0.017;116.0;75.0;0.333;0.045;0.159;0.703;0.061;0.037;0.083
179;gemini-pro;symptoms;What are the symptoms of Leukoencephalopathy with vanishing white matter ?;What are the signs and symptoms of Leukoencephalopathy with vanishing white matter? The Human Phenotype Ontology provides the following list of signs and symptoms for Leukoencephalopathy with vanishing white matter. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Juvenile onset 33% Macrocephaly 33% Blindness 7.5% Autosomal recessive inheritance - Cerebral hypomyelination - Cessation of head growth - CNS demyelination - Decreased serum progesterone - Delusions - Developmental regression - Dysarthria - Emotional lability - Lethargy - Leukoencephalopathy - Memory impairment - Muscular hypotonia - Optic atrophy - Personality changes - Premature ovarian failure - Primary gonadal insufficiency - Secondary amenorrhea - Seizures - Spasticity - Unsteady gait - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.;Leukoencephalopathy with vanishing white matter (LVWM) is a rare neurodegenerative disorder characterized by the progressive loss of white matter in the brain. Symptoms of LVWM typically appear in childhood or early adulthood and may include difficulty with coordination and balance, muscle weakness, involuntary muscle movements, seizures, cognitive decline, and behavioral changes. As the disease progresses, individuals may experience difficulty swallowing, speaking, and breathing. LVWM is a fatal disorder, and there is currently no cure or effective treatment.;0.007;250.0;72.0;0.175;0.034;0.136;0.59;-0.235;-0.376;-0.089
180;gemini-pro;exams and tests;How to diagnose Waardenburg syndrome type 2 ?;How is a subtype of Waardenburg syndrome type 2 diagnosed? Subtypes of Waardenburg syndrome type 2 are determined by the suspected genetic cause of the condition in a family.  In some subtypes, the genetic cause is a known gene.  In other subtypes, the general location (locus) of the genetic cause has been identified, but the specific gene is not yet known.  There are five different subtypes:  Type 2A is caused by a change (mutation) in the MITF gene on chromosome 3 Type 2B is associated with a locus on chromosome 1 Type 2C is associated with a locus on chromosome 8 Type 2D is caused by mutations is the SNAI2 gene on chromosome 8 Type 2E is caused by mutations in the SOX10 gene on chromosome 22 Because subtypes are defined by the underlying genetic cause, they are not diagnosed by physical features identified during a physical exam.  Physical features may be used to distinguish between types of Waardenburg syndrome, such as Type 1 or Type 2, but do not help identify a specific subtype.;;0.0;157.0;1.0;0.0;0.0;0.0;-0.054;-0.361;-0.596;-0.104
181;gemini-pro;genetic changes;What are the genetic changes related to familial dysautonomia ?;Mutations in the IKBKAP gene cause familial dysautonomia.  The IKBKAP gene provides instructions for making a protein called IKK complex-associated protein (IKAP). This protein is found in a variety of cells throughout the body, including brain cells.  Nearly all individuals with familial dysautonomia have two copies of the same IKBKAP gene mutation in each cell. This mutation can disrupt how information in the IKBKAP gene is pieced together to make a blueprint for the production of IKAP protein. As a result of this error, a reduced amount of normal IKAP protein is produced. This mutation behaves inconsistently, however. Some cells produce near normal amounts of the protein, and other cellsparticularly brain cellshave very little of the protein. Critical activities in brain cells are probably disrupted by reduced amounts or the absence of IKAP protein, leading to the signs and symptoms of familial dysautonomia.;Familial dysautonomia, also known as Riley-Day syndrome, is an inherited disorder caused by mutations in the ELP1 gene, located on chromosome 9. These mutations lead to the production of a non-functional ELP1 protein, which is involved in the regulation of gene expression, cell signaling, and cell adhesion. The genetic changes related to familial dysautonomia result in abnormal development and function of the autonomic nervous system, leading to a range of symptoms including difficulty with motor coordination, impaired temperature regulation, abnormal heart rate and blood pressure, and problems with digestion and elimination.;0.015;128.0;83.0;0.271;0.041;0.157;0.55;-0.027;-0.062;0.005
182;gemini-pro;information;What is (are) Abdominal Adhesions ?;Abdominal adhesions are bands of  fibrous tissue that can form between abdominal tissues and organs. Normally, internal tissues and organs have slippery surfaces, preventing them from sticking together as the body moves. However, abdominal adhesions cause tissues and organs in the abdominal cavity to stick together.;Abdominal adhesions are fibrous bands of scar tissue that form between organs and tissues in the abdominal cavity as a result of injury, surgery, or inflammation. These adhesions can cause a variety of symptoms, including pain, bowel obstruction, infertility, and chronic pelvic pain. Treatment for abdominal adhesions typically involves surgery to remove the adhesions, although this can be a risky procedure due to the potential for further complications.;0.061;44.0;62.0;0.463;0.143;0.317;0.828;0.329;0.442;0.22
183;gemini-pro;symptoms;What are the symptoms of Autosomal dominant neuronal ceroid lipofuscinosis 4B ?;What are the signs and symptoms of Autosomal dominant neuronal ceroid lipofuscinosis 4B? The Human Phenotype Ontology provides the following list of signs and symptoms for Autosomal dominant neuronal ceroid lipofuscinosis 4B. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Adult onset - Ataxia - Auditory hallucinations - Autosomal dominant inheritance - Curvilinear intracellular accumulation of autofluorescent lipopigment storage material - Dementia - Depression - Fingerprint intracellular accumulation of autofluorescent lipopigment storage material - Granular osmiophilic deposits (GROD) in cells - Increased neuronal autofluorescent lipopigment - Myoclonus - Parkinsonism - Rapidly progressive - Rectilinear intracellular accumulation of autofluorescent lipopigment storage material - Seizures - Visual hallucinations - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.;Autosomal dominant neuronal ceroid lipofuscinosis 4B (CLN4B) is a rare, progressive neurodegenerative disorder characterized by the accumulation of neuronal ceroid lipofuscin, a yellowish-brown pigment, in various parts of the nervous system. Symptoms typically appear in early childhood and may include vision problems, such as progressive loss of central and peripheral vision, difficulty with balance and coordination, slurred speech, seizures, and cognitive decline. As the disease progresses, individuals may experience muscle weakness, difficulty swallowing, and respiratory problems. Psychiatric symptoms, such as anxiety and depression, may also occur. The severity and progression of symptoms can vary among affected individuals.;0.014;254.0;91.0;0.216;0.047;0.127;0.57;-0.165;-0.286;-0.042
184;gemini-pro;information;What is (are) myotonic dystrophy ?;Myotonic dystrophy is part of a group of inherited disorders called muscular dystrophies. It is the most common form of muscular dystrophy that begins in adulthood.  Myotonic dystrophy is characterized by progressive muscle wasting and weakness. People with this disorder often have prolonged muscle contractions (myotonia) and are not able to relax certain muscles after use. For example, a person may have difficulty releasing their grip on a doorknob or handle. Also, affected people may have slurred speech or temporary locking of their jaw.  Other signs and symptoms of myotonic dystrophy include clouding of the lens of the eye (cataracts) and abnormalities of the electrical signals that control the heartbeat (cardiac conduction defects). In affected men, hormonal changes may lead to early balding and an inability to father a child (infertility). The features of this disorder often develop during a person's twenties or thirties, although they can occur at any age. The severity of the condition varies widely among affected people, even among members of the same family.  There are two major types of myotonic dystrophy: type 1 and type 2. Their signs and symptoms overlap, although type 2 tends to be milder than type 1. The muscle weakness associated with type 1 particularly affects the lower legs, hands, neck, and face. Muscle weakness in type 2 primarily involves the muscles of the neck, shoulders, elbows, and hips. The two types of myotonic dystrophy are caused by mutations in different genes.  A variation of type 1 myotonic dystrophy, called congenital myotonic dystrophy, is apparent at birth. Characteristic features include weak muscle tone (hypotonia), an inward- and upward-turning foot (clubfoot), breathing problems, delayed development, and intellectual disability. Some of these health problems can be life-threatening.;Myotonic dystrophy is a group of hereditary neuromuscular disorders characterized by progressive muscle weakness, stiffness, and myotonia, which is a difficulty in relaxing muscles after voluntary contraction. It is caused by a defect in the DMPK gene, which leads to the production of abnormal RNA that interferes with muscle function. Myotonic dystrophy can affect multiple organ systems, including the heart, lungs, eyes, and gastrointestinal tract. There are two main types of myotonic dystrophy: type 1 (DM1) and type 2 (DM2). DM1 is the most common form and typically begins in adulthood, with symptoms including muscle weakness, cataracts, and heart problems. DM2 is less common and usually starts in childhood, with symptoms including muscle weakness, intellectual disability, and respiratory problems.;0.044;262.0;112.0;0.338;0.146;0.236;0.882;0.156;0.072;0.241
185;gemini-pro;exams and tests;How to diagnose Ulcerative Colitis ?;"A health care provider diagnoses ulcerative colitis with the following:
                
- medical and family history  - physical exam  - lab tests  - endoscopies of the large intestine
                
The health care provider may perform a series of medical tests to rule out other bowel disorders, such as irritable bowel syndrome, Crohn's disease, or celiac disease, that may cause symptoms similar to those of ulcerative colitis. Read more about these conditions on the Digestive Disease A-Z list.
                
Medical and Family History
                
Taking a medical and family history can help the health care provider diagnose ulcerative colitis and understand a patient's symptoms. The health care provider will also ask the patient about current and past medical conditions and medications.
                
Physical Exam
                
A physical exam may help diagnose ulcerative colitis. During a physical exam, the health care provider most often
                
- checks for abdominal distension, or swelling  - listens to sounds within the abdomen using a stethoscope  - taps on the abdomen to check for tenderness and pain
                
Lab Tests
                
A health care provider may order lab tests to help diagnose ulcerative colitis, including blood and stool tests.
                
Blood tests. A blood test involves drawing blood at a health care provider's office or a lab. A lab technologist will analyze the blood sample. A health care provider may use blood tests to look for
                
- anemia  - inflammation or infection somewhere in the body  - markers that show ongoing inflammation  - low albumin, or proteincommon in patients with severe ulcerative colitis
                
Stool tests. A stool test is the analysis of a sample of stool. A health care provider will give the patient a container for catching and storing the stool at home. The patient returns the sample to the health care provider or to a lab. A lab technologist will analyze the stool sample. Health care providers commonly order stool tests to rule out other causes of GI diseases, such as infection.
                
Endoscopies of the Large Intestine
                
Endoscopies of the large intestine are the most accurate methods for diagnosing ulcerative colitis and ruling out other possible conditions, such as Crohn's disease, diverticular disease, or cancer. Endoscopies of the large intestine include
                
- colonoscopy  - flexible sigmoidoscopy
                
Colonoscopy. Colonoscopy is a test that uses a long, flexible, narrow tube with a light and tiny camera on one end, called a colonoscope or scope, to look inside the rectum and entire colon. In most cases, light anesthesia and pain medication help patients relax for the test. The medical staff will monitor a patient's vital signs and try to make him or her as comfortable as possible. A nurse or technician places an intravenous (IV) needle in a vein in the patient's arm or hand to give anesthesia.
                
For the test, the patient will lie on a table or stretcher while the gastroenterologist inserts a colonoscope into the patient's anus and slowly guides it through the rectum and into the colon. The scope inflates the large intestine with air to give the gastroenterologist a better view. The camera sends a video image of the intestinal lining to a monitor, allowing the gastroenterologist to carefully examine the tissues lining the colon and rectum. The gastroenterologist may move the patient several times and adjust the scope for better viewing. Once the scope has reached the opening to the small intestine, the gastroenterologist slowly withdraws it and examines the lining of the colon and rectum again.
                
A colonoscopy can show irritated and swollen tissue, ulcers, and abnormal growths such as polypsextra pieces of tissue that grow on the inner lining of the intestine. If the gastroenterologist suspects ulcerative colitis, he or she will biopsy the patient's colon and rectum. A biopsy is a procedure that involves taking small pieces of tissue for examination with a microscope.
                
A health care provider will give patients written bowel prep instructions to follow at home before the test. The health care provider will also give patients information about how to care for themselves following the procedure.
                
Flexible sigmoidoscopy. Flexible sigmoidoscopy is a test that uses a flexible, narrow tube with a light and tiny camera on one end, called a sigmoidoscope or scope, to look inside the rectum, the sigmoid colon, and sometimes the descending colon. In most cases, a patient does not need anesthesia.
                
For the test, the patient will lie on a table or stretcher while the health care provider inserts the sigmoidoscope into the patient's anus and slowly guides it through the rectum, the sigmoid colon, and sometimes the descending colon. The scope inflates the large intestine with air to give the health care provider a better view. The camera sends a video image of the intestinal lining to a monitor, allowing the health care provider to examine the tissues lining the sigmoid colon and rectum. The health care provider may ask the patient to move several times and adjust the scope for better viewing. Once the scope reaches the end of the sigmoid colon, the health care provider slowly withdraws it while examining the lining of the colon and rectum again.
                
The health care provider will look for signs of bowel diseases and conditions such as irritated and swollen tissue, ulcers, and polyps.
                
If the health care provider suspects ulcerative colitis, he or she will biopsy the patient's colon and rectum.
                
A health care provider will give patients written bowel prep instructions to follow at home before the test. The health care provider will also give patients information about how to care for themselves following the procedure.";Ulcerative colitis is typically diagnosed based on a combination of factors, including a detailed medical history, physical examination, stool analysis, blood tests, imaging studies, and endoscopic procedures. The history focuses on symptoms such as abdominal pain, diarrhea, weight loss, and blood in the stool. Physical examination may reveal abdominal tenderness or signs of inflammation. Stool analysis can detect the presence of blood, white blood cells, or parasites. Blood tests can assess for anemia, inflammation, and electrolyte imbalances. Imaging studies like X-rays, CT scans, or MRIs may be used to evaluate the extent of inflammation and rule out other conditions. Endoscopic procedures, such as colonoscopy or sigmoidoscopy, allow direct visualization of the colon and rectum to identify ulcers, inflammation, and biopsies can be taken for further analysis.;0.0;766.0;119.0;0.241;0.039;0.179;0.728;-0.039;-0.149;0.072
186;gemini-pro;exams and tests;How to diagnose Down syndrome ?;How is Down syndrome diagnosed? Down syndrome may be suspected and/or diagnosed during pregnancy, or after a child is born. During pregnancy, a woman can opt to have specific tests that may either screen for, or diagnosis, Down syndrome in a fetus. A screening test poses no risks to the fetus and can determine the likelihood that a fetus has Down syndrome. It may show that a fetus is at an increased risk to be affected, but cannot determine whether it is definitely affected. Screening tests for Down syndrome may involve different types of blood tests for the mother and/or specific types of ultrasounds that can detect features more common in fetuses with Down syndrome (called markers). Depending on the type of screening tests a woman has, they may be done during the 1st trimester, the 2nd trimester, or both. If a screening test shows an increased risk for Down syndrome, a woman may then choose to have a diagnostic test. Diagnostic tests during pregnancy can determine with certainty whether a fetus has Down syndrome, but they are invasive and carry a slight risk of miscarriage. Examples of diagnostic tests include chorionic villus sampling in the 1st trimester and amniocentesis in the 2nd trimester. During these tests, a small sample of genetic material is obtained from the amniotic fluid or placenta, and the fetus' chromosomes are then analyzed in a laboratory. In recent years, non-invasive prenatal testing (NIPT) has become available to women who are at increased risk to have a baby with Down syndrome. NIPT is a blood test that examines DNA from the fetus in the mother's bloodstream. However, women who have a positive NIPT result should then have invasive diagnostic testing to confirm the result. People with questions about the different options for prenatal screening or diagnostic testing should speak with a genetic counselor. A genetic counselor can discuss the benefits, limitations and risks of each test, and help each person decide which test (if any) is best for them. If a diagnosis of Down syndrome is not made prenatally, the diagnosis can be made in the newborn. Down syndrome may be suspected if a newborn has characteristic physical features of the condition. The diagnosis can then be confirmed by obtaining a karyotype (a blood test to look at a picture of the newborn's chromosomes).;Diagnosing Down syndrome typically involves a combination of prenatal screening tests, physical examination, and genetic testing. During pregnancy, specific prenatal screening tests, such as blood tests and ultrasound, can assess the risk of having a baby with Down syndrome. If the screening results indicate a higher risk, further diagnostic tests like amniocentesis or chorionic villus sampling are recommended to confirm the diagnosis. After birth, physical examination of the baby's physical characteristics, such as facial features, skin tone, and muscle tone, can provide clues suggestive of Down syndrome. Genetic testing, specifically karyotyping or chromosomal microarray analysis, is performed to analyze the baby's chromosomes and confirm the presence of an extra copy of chromosome 21, which is the genetic basis of Down syndrome.;0.009;342.0;110.0;0.301;0.07;0.212;0.854;0.067;-0.05;0.186
187;gemini-pro;information;Do you have information about Blood Count Tests;Summary : Your blood contains red blood cells (RBC), white blood cells (WBC), and platelets. Blood count tests measure the number and types of cells in your blood. This helps doctors check on your overall health. The tests can also help to diagnose diseases and conditions such as anemia, infections, clotting problems, blood cancers, and immune system disorders.    Specific types include tests for       - RBC - the numbers, size, and types of RBC in the blood    - WBC - the numbers and types of WBC in the blood    - Platelets - the numbers and size of the platelets    - Hemoglobin - an iron-rich protein in red blood cells that carries oxygen    - Hematocrit - how much space red blood cells take up in your blood    - Reticulocyte count - how many young red blood cells are in your blood    - Mean corpuscular volume (MCV) - the average size of your red blood cells       The complete blood count (CBC) includes most or all of these. The CBC is one of the most common blood tests.    NIH: National Heart, Lung, and Blood Institute;A blood count test, also known as a complete blood count (CBC), is a common blood test that evaluates the cells in your blood. It measures the number of red blood cells, white blood cells, and platelets, as well as hemoglobin levels and hematocrit.  This information can help your doctor assess your overall health and diagnose or monitor a variety of conditions, including anemia, infection, inflammation, and leukemia. A CBC may also be used to monitor your response to treatment or to check for side effects of certain medications.;0.053;153.0;82.0;0.457;0.134;0.214;0.673;0.196;0.101;0.293
188;gemini-pro;causes;What causes Isobutyryl-CoA dehydrogenase deficiency ?;What causes isobutyryl-CoA dehydrogenase deficiency (IBD deficiency)? IBD deficiency is caused by mutations in the ACAD8 gene. The ACAD8 gene provides instructions for making an enzyme that plays an essential role in breaking down proteins from the diet. Specifically, the enzyme is responsible for processing valine, an amino acid that is part of many proteins. If a mutation in the ACAD8 gene reduces or eliminates the activity of this enzyme, the body is unable to break down valine properly. As a result, poor growth and reduced energy production may occur.;Isobutyryl-CoA dehydrogenase deficiency is an inherited metabolic disorder caused by a mutation in the gene encoding the enzyme isobutyryl-CoA dehydrogenase (IBD). This enzyme is responsible for converting isobutyryl-CoA to crotonyl-CoA in the catabolic pathway of the amino acid valine. The mutation in the IBD gene leads to a deficiency or complete absence of the enzyme, resulting in an accumulation of isobutyryl-CoA and its metabolites in the body. This accumulation can lead to a variety of clinical manifestations, including metabolic acidosis, developmental delay, intellectual disability, seizures, and movement disorders.;0.072;78.0;75.0;0.404;0.139;0.349;0.787;0.17;0.175;0.162
